L1,L2,L3,Old Path,New Path,Redirect,Path Var
Library,,,provisioning/library,library,,
Library,Automation,,provisioning/library/automation,library/automation,,
Library,Automation,Tasks,,,,
Library,Automation,Workflows,,,,
Library,Automation,Scale Thresholds,,,,
Library,Automation,Power Scheduling,,,,
Library,Automation,Execute Scheduling,,,,
Library,Blueprints,,,,,
Library,Blueprints,Catalog Items,,,,
Library,Blueprints,App Blueprints,,,,
Library,Blueprints,Instance Types,,,,
Library,Blueprints,Layouts,,,,
Library,Blueprints,Node Types,,,,
Library,Blueprints,Cluster Layouts,,,,
Library,Virtual Images,,,,,
Library,Options,,,,,
Library,Options,Inputs,,,,
Library,Options,Option Lists,,,,
Library,Templates,,,,,
Library,Templates,Spec Templates,,,,
Library,Templates,File Templates,,,,
Library,Templates,Script Templates,,,,
Library,Templates,Security Packages,,,,
Provisioning,,,,,,
Provisioning,Catalog,,,,,
Provisioning,Catalog,Inventory,,,,
Provisioning,Instances,,,,,
Provisioning,Apps,,,,,
Provisioning,Jobs,,,,,
Provisioning,Jobs,Job Executions,,,,
Provisioning,Jobs,Security Packages,,,,
Provisioning,Code,,,,,
Provisioning,Code,Repositories,,,,
Provisioning,Code,Deployments,,,,
Provisioning,Code,Integrations,,,,
Operations,,,,,,
Operations,Dashboard,,,,,
Operations,Reports,,,,,
Operations,Analytics,,,,,
Operations,Guidance,,,,,
Operations,Wiki,,,,,
Operations,Costing,,,,,
Operations,Costing,Budgets,,,,
Operations,Costing,Invoices,,,,
Operations,Costing,Usage,,,,
Operations,Approvals,,,,,
Operations,Activity,,,,,
Operations,Activity,Alarms,,,,
Operations,Activity,History,,,,
Infrastructure,,,,,,
Infrastructure,Groups,,,,,
Infrastructure,Clouds,,,,,
Infrastructure,Clusters,,,,,
Infrastructure,Compute,,,,,
Infrastructure,Compute,Hosts,,,,
Infrastructure,Compute,Virtual Machines,,,,
Infrastructure,Compute,Containers,,,,
Infrastructure,Compute,Resources,,,,
Infrastructure,Compute,Bare Metal,,,,
Infrastructure,Network,,,,,
Infrastructure,Network,Networks,,,,
Infrastructure,Network,Network Groups,,,,
Infrastructure,Network,Routers,,,,
Infrastructure,Network,IP Pools,,,,
Infrastructure,Network,Domains,,,,
Infrastructure,Network,Proxies,,,,
Infrastructure,Network,Security Groups,,,,
Infrastructure,Network,Integrations,,,,
Infrastructure,Load Balancers,,,,,
Infrastructure,Load Balancers,Load Balancers,,,,
Infrastructure,Load Balancers,Virtual Servers,,,,
Infrastructure,Storage,,,,,
Infrastructure,Storage,Buckers,,,,
Infrastructure,Storage,File Shares,,,,
Infrastructure,Storage,Volumes,,,,
Infrastructure,Storage,Data Stores,,,,
Infrastructure,Storage,Servers,,,,
Infrastructure,Keys & Certs,,,,,
Infrastructure,Keys & Certs,Key Pairs,,,,
Infrastructure,Keys & Certs,SSL Certificates,,,,
Infrastructure,Keys & Certs,Integrations,,,,
Infrastructure,Boot,,,,,
Infrastructure,Boot,Mapping,,,,
Infrastructure,Boot,Boot Menus,,,,
Infrastructure,Boot,Answer Files,,,,
Infrastructure,Boot,Images,,,,
Infrastructure,Boot,Discovered MAC Addresses,,,,
Infrastructure,Boot,,,,,
Backups,,,,,,
Backups,Summary,,,,,
Backups,Jobs,,,,,
Backups,Backups,,,,,
Backups,History,,,,,
Backups,History,Backups,,,,
Backups,History,Restores,,,,
Backups,Integrations,,,,,
Monitoring,,,,,,
Monitoring,Status,,,,,
Monitoring,Logs,,,,,
Monitoring,Apps,,,,,
Monitoring,Checks,,,,,
Monitoring,Groups,,,,,
Monitoring,Incidents,,,,,
Monitoring,Contacts,,,,,
Monitoring,Alert Rules,,,,,
Tools,,,,,,
Tools,Cypher,,,,,
Tools,Archives,,,,,
Tools,Image Builder,,,,,
Tools,Image Builder,Image Builds,,,,
Tools,Image Builder,Boot Scripts,,,,
Tools,Image Builder,Preseed Scripts,,,,
Tools,VDI Pools,,,,,
Tools,VDI Pools,VDI Pools,,,,
Tools,VDI Pools,VDI Apps,,,,
Tools,VDI Pools,VDI Gateways,,,,
Administration,,,,,,
Administration,Tenants,,,,,
Administration,Plans & Pricing,,,,,
Administration,Plans & Pricing,Plans,,,,
Administration,Plans & Pricing,Price Sets,,,,
Administration,Plans & Pricing,Prices,,,,
Administration,Roles,,,,,
Administration,Users,,,,,
Administration,Users,Users,,,,
Administration,Users,User Groups,,,,
Administration,Integrations,,,,,
Administration,Integrations,Integrations,,,,
Administration,Integrations,Packages,,,,
Administration,Integrations,Plugins,,,,
Administration,Integrations,Distributed Workers,,,,
Administration,Policies,,,,,
Administration,Health,,,,,
Administration,Health,Morpheus Health,,,,
Administration,Health,Morpheus Logs,,,,
Administration,Settings,,,,,
Administration,Settings,Appliance,,,,
Administration,Settings,Whitelabel,,,,
Administration,Settings,Provisioning,,,,
Administration,Settings,Monitoring,,,,
Administration,Settings,Backups,,,,
Administration,Settings,Logs,,,,
Administration,Settings,Guidance,,,,
Administration,Settings,Environments,,,,
Administration,Settings,Software Licenses,,,,
Administration,Settings,License,,,,
Administration,Settings,Utilities,,,,
